Id,SalePrice
1461,115807.0
1462,167886.0
1463,182669.0
1464,203625.0
1465,187544.0
1466,177222.0
1467,187066.0
1468,170382.0
1469,193551.0
1470,124447.0
1471,194891.0
1472,97212.0
1473,96096.0
1474,154495.0
1475,117245.0
1476,384410.0
1477,266751.0
1478,285843.0
1479,266037.0
1480,471123.0
1481,323010.0
1482,216314.0
1483,160280.0
1484,174246.0
1485,185750.0
1486,197039.0
1487,352591.0
1488,226693.0
1489,207789.0
1490,233153.0
1491,192613.0
1492,78277.0
1493,200812.0
1494,295998.0
1495,303602.0
1496,233261.0
1497,181992.0
1498,167962.0
1499,170250.0
1500,161903.0
1501,177650.0
1502,150002.0
1503,307403.0
1504,253896.0
1505,226238.0
1506,185848.0
1507,238526.0
1508,190366.0
1509,163882.0
1510,153578.0
1511,142923.0
1512,180820.0
1513,144177.0
1514,182948.0
1515,203220.0
1516,151968.0
1517,181950.0
1518,129561.0
1519,225084.0
1520,130248.0
1521,131580.0
1522,169270.0
1523,106083.0
1524,127044.0
1525,121164.0
1526,113819.0
1527,101062.0
1528,145833.0
1529,155648.0
1530,196377.0
1531,103861.0
1532,99715.0
1533,145387.0
1534,131388.0
1535,155783.0
1536,112296.0
1537,65689.0
1538,177403.0
1539,204656.0
1540,96579.0
1541,143330.0
1542,135381.0
1543,197669.0
1544,81304.0
1545,113932.0
1546,134408.0
1547,129310.0
1548,142470.0
1549,115432.0
1550,136300.0
1551,115856.0
1552,135653.0
1553,164388.0
1554,109155.0
1555,157295.0
1556,83150.0
1557,112435.0
1558,98923.0
1559,90390.0
1560,145403.0
1561,132814.0
1562,133931.0
1563,119807.0
1564,158106.0
1565,148628.0
1566,253702.0
1567,68571.0
1568,233179.0
1569,127793.0
1570,140496.0
1571,121674.0
1572,148129.0
1573,237808.0
1574,116691.0
1575,231788.0
1576,233630.0
1577,192724.0
1578,149868.0
1579,148578.0
1580,193767.0
1581,153588.0
1582,130551.0
1583,320126.0
1584,226583.0
1585,139860.0
1586,68458.0
1587,105191.0
1588,158986.0
1589,90918.0
1590,133425.0
1591,87574.0
1592,114388.0
1593,135021.0
1594,160993.0
1595,113040.0
1596,234760.0
1597,189094.0
1598,202440.0
1599,194517.0
1600,184822.0
1601,75898.0
1602,112221.0
1603,90279.0
1604,244664.0
1605,243518.0
1606,175323.0
1607,206799.0
1608,219364.0
1609,197936.0
1610,147121.0
1611,137736.0
1612,164456.0
1613,161807.0
1614,132477.0
1615,90509.0
1616,66920.0
1617,90726.0
1618,123879.0
1619,148305.0
1620,169691.0
1621,137708.0
1622,140996.0
1623,286916.0
1624,218412.0
1625,122592.0
1626,166262.0
1627,191449.0
1628,295124.0
1629,182296.0
1630,323379.0
1631,208944.0
1632,230818.0
1633,175696.0
1634,187528.0
1635,181214.0
1636,157238.0
1637,205912.0
1638,192775.0
1639,181739.0
1640,235892.0
1641,176698.0
1642,224359.0
1643,222523.0
1644,231828.0
1645,193050.0
1646,159504.0
1647,159845.0
1648,127769.0
1649,136244.0
1650,117580.0
1651,122335.0
1652,99497.0
1653,109305.0
1654,141011.0
1655,147182.0
1656,147142.0
1657,150156.0
1658,147874.0
1659,127826.0
1660,159372.0
1661,406415.0
1662,431342.0
1663,401669.0
1664,413551.0
1665,336473.0
1666,293511.0
1667,372417.0
1668,348698.0
1669,303573.0
1670,325310.0
1671,273267.0
1672,455213.0
1673,321913.0
1674,240182.0
1675,200851.0
1676,191544.0
1677,219507.0
1678,377069.0
